Time,AM/PM,Home,vs,Away,Epoch Time,Override Text,Override Type,,
8:30,AM,JIS,vs,ISM,1365640200,,,,
10:15,AM,ISKL,vs,TAS,1365646500,,,,
12:00,PM,SAS,vs,ISB,1365652800,,,,
2:00,PM,ISM,vs,ISKL,1365660000,,,,
3:45,PM,ISB,vs,JIS,1365666300,,,,
5:30,PM,TAS,vs,SAS,1365672600,,,,
,,,,,,,,,
8:00,AM,ISM,vs,ISB,1365724800,,,,
9:45,AM,ISKL,vs,SAS,1365731100,,,,
11:30,AM,JIS,vs,TAS,1365737400,,,,
2:00,PM,ISB,vs,ISKL,1365746400,,,,
3:45,PM,TAS,vs,ISM,1365752700,,,,
5:30,PM,SAS,vs,JIS,1365759000,,,,
,,,,,,,,,
8:00,AM,ISB,vs,TAS,1365811200,,,,
9:45,AM,ISM,vs,SAS,1365817500,,,,
11:30,AM,JIS,vs,ISKL,1365823800,,,,
2:30,PM,Consolation,,,1365834600,,,,
6:00,PM,Final,,,1365847200,,,,
,,,,,,,,,
,,,,,,,,,
