Teams,1,2,3,4,5,6,7,Runs,Hits,Errors
JIS,0,1,2,7,1,-,-,11,9,4
ISM,0,1,0,6,2,-,-,9,9,6
,,,,,,,,,,
ISKL,1,0,2,0,1,0,0,4,10,6
TAS,5,0,4,0,5,0,1,15,12,3
,,,,,,,,,,
SAS,7,8,10,0,-,-,-,25,24,2
ISB,0,0,0,1,-,-,-,1,2,2
,,,,,,,,,,
ISKL,2,0,1,4,1,0,5,13,14,7
ISM,3,0,4,1,4,3,-,15,15,5
,,,,,,,,,,
JIS,2,0,2,0,2,0,0,6,8,11
ISB,3,2,0,4,6,3,-,18,19,1
,,,,,,,,,,
SAS,5,3,4,0,3,2,0,17,21,5
TAS,4,0,2,0,4,6,2,18,17,4
,,,,,,,,,,
ISB,0,3,0,2,3,0,0,8,10,6
ISM,0,0,1,0,1,0,7,9,10,5
,,,,,,,,,,
SAS,0,5,0,2,0,7,4,18,20,5
ISKL,6,3,0,0,3,1,0,13,14,8
,,,,,,,,,,
TAS,0,0,3,6,2,4,-,15,14,6
JIS,0,0,2,0,4,0,-,6,5,9
,,,,,,,,,,
ISKL,1,0,1,0,3,0,0,5,11,6
ISB,1,0,5,2,0,2,-,10,11,2
,,,,,,,,,,
ISM,0,2,2,0,0,-,-,4,3,12
TAS,5,0,3,9,2,-,-,19,14,2
,,,,,,,,,,
JIS,0,1,4,0,4,-,-,9,6,5
SAS,7,4,8,10,-,-,-,29,28,2
,,,,,,,,,,
TAS,0,0,0,3,1,0,0,4,11,2
ISB,2,0,0,0,1,0,0,3,5,5
,,,,,,,,,,
SAS,0,2,5,0,0,0,5,12,17,3
ISM,1,0,0,4,1,0,4,10,14,4
,,,,,,,,,,
ISKL,0,1,3,1,6,10,-,21,20,2
JIS,1,0,0,2,1,0,-,4,5,5
